experiment_id,build_name,attempt,pbs_job_id,timestamp_utc,hostname,source_commit,compiler,compiler_version,mpi_implementation,mpi_version,mpi_launcher_version,loaded_modules,build_flags,input_parameters,requested_resources,problem_size,mpi_tasks,threads,iterations,final_origin_energy,max_abs_diff,total_abs_diff,max_rel_diff,elapsed_seconds,fom_z_s,correctness_status,run_status,binary_path,stdout_path,stderr_path,build_stdout_path,build_stderr_path
CCE13-CrayMPICH8-smoke-s10-newWF,CCE13-CrayMPICH8-newWF,CCE13-CrayMPICH8-smoke-s10-newWF_v1,15086010.pbs101,2026-08-04T09:33:38Z,x1002c4s7b0n0,3e01c40b3281aadb7f996525cdd4a3354f6d3801,Cray CC,13.0.2,Cray MPICH,8.1.15,1.1.6,craype-x86-rome;craype/2.7.15;libfabric/1.11.0.4.125;cray-dsmml/0.2.2;craype-network-ofi;cray-mpich/8.1.15;perftools-base/22.04.0;cray-pals/1.1.6;cce/13.0.2;PrgEnv-cray/8.3.3,Release;WITH_MPI=On;WITH_OPENMP=On;WITH_SILO=Off,-s 10,"select=1:ncpus=1:mpiprocs=1:mem=1gb, walltime=00:10:00",10,1,1,231,2.720531e+04,2.273737e-12,1.659646e-11,4.649603e-14,0.35,656.99887,passed,success,/home/users/ntu/pham0094/scratch/LULESH-Aspire2a/builds/source/LULESH-newWF/build-CCE13-CrayMPICH8-newWF-Release/lulesh2.0,experiments/CCE13-CrayMPICH8-smoke-s10-newWF/outputs/CCE13-CrayMPICH8-smoke-s10-newWF_v1.o,experiments/CCE13-CrayMPICH8-smoke-s10-newWF/outputs/CCE13-CrayMPICH8-smoke-s10-newWF_v1.e,builds/build-scripts/CCE13-CrayMPICH8-newWF/outputs/CCE13-CrayMPICH8-newWF_v1.o,builds/build-scripts/CCE13-CrayMPICH8-newWF/outputs/CCE13-CrayMPICH8-newWF_v1.e
AOCC-CrayMPICH8-smoke-s10,AOCC-CrayMPICH8,AOCC-CrayMPICH8-smoke-s10_v1,15090036.pbs101,2026-08-05T00:05:46Z,x1001c3s2b1n0,3e01c40b3281aadb7f996525cdd4a3354f6d3801,AOCC CC,3.2.0,Cray MPICH,8.1.15,1.1.6,craype-x86-rome;craype/2.7.15;libfabric/1.11.0.4.125;cray-dsmml/0.2.2;craype-network-ofi;cray-mpich/8.1.15;perftools-base/22.04.0;cray-pals/1.1.6;aocc/3.2.0;PrgEnv-aocc/8.3.3,Release;WITH_MPI=On;WITH_OPENMP=On;WITH_SILO=Off,-s 10,"select=1:ncpus=1:mpiprocs=1:mem=1gb, walltime=00:10:00",10,1,1,231,2.720531e+04,2.273737e-12,1.659646e-11,4.649603e-14,0.26,895.58097,passed,success,/home/users/ntu/pham0094/scratch/LULESH-Aspire2a/builds/source/LULESH-newWF/build-AOCC-CrayMPICH8-Release/lulesh2.0,experiments/AOCC-CrayMPICH8-smoke-s10/outputs/AOCC-CrayMPICH8-smoke-s10_v1.o,experiments/AOCC-CrayMPICH8-smoke-s10/outputs/AOCC-CrayMPICH8-smoke-s10_v1.e,builds/build-scripts/AOCC-CrayMPICH8/outputs/AOCC-CrayMPICH8_v1.2.o,builds/build-scripts/AOCC-CrayMPICH8/outputs/AOCC-CrayMPICH8_v1.2.e
Intel-CrayMPICH8-smoke-s10,Intel-CrayMPICH8,Intel-CrayMPICH8-smoke-s10_v1,15090189.pbs101,2026-08-05T00:54:34Z,x1001c6s0b0n1,3e01c40b3281aadb7f996525cdd4a3354f6d3801,Intel CC,2024.0,Cray MPICH,8.1.15,1.1.6,craype-x86-rome;craype/2.7.15;libfabric/1.11.0.4.125;cray-dsmml/0.2.2;craype-network-ofi;cray-mpich/8.1.15;perftools-base/22.04.0;cray-pals/1.1.6;intel/2024.0;PrgEnv-intel/8.3.3,Release;WITH_MPI=On;WITH_OPENMP=On;WITH_SILO=Off,-s 10,"select=1:ncpus=1:mpiprocs=1:mem=1gb, walltime=00:10:00",10,1,1,231,2.720531e+04,4.547474e-12,2.695046e-11,-nan,0.2,1182.5021,failed,success,/home/users/ntu/pham0094/scratch/LULESH-Aspire2a/builds/source/LULESH-newWF/build-Intel-CrayMPICH8-Release/lulesh2.0,experiments/Intel-CrayMPICH8-smoke-s10/outputs/Intel-CrayMPICH8-smoke-s10_v1.o,experiments/Intel-CrayMPICH8-smoke-s10/outputs/Intel-CrayMPICH8-smoke-s10_v1.e,builds/build-scripts/Intel-CrayMPICH8/outputs/Intel-CrayMPICH8_v1.o,builds/build-scripts/Intel-CrayMPICH8/outputs/Intel-CrayMPICH8_v1.e
GNU-CrayMPICH8-smoke-s10,GNU-CrayMPICH8,GNU-CrayMPICH8-smoke-s10_v1,15090190.pbs101,2026-08-05T00:54:34Z,x1001c6s0b0n1,3e01c40b3281aadb7f996525cdd4a3354f6d3801,GNU CC,11.2.0,Cray MPICH,8.1.15,1.1.6,craype-x86-rome;craype/2.7.15;libfabric/1.11.0.4.125;cray-dsmml/0.2.2;craype-network-ofi;cray-mpich/8.1.15;perftools-base/22.04.0;cray-pals/1.1.6;gcc/11.2.0;PrgEnv-gnu/8.3.3,Release;WITH_MPI=On;WITH_OPENMP=On;WITH_SILO=Off,-s 10,"select=1:ncpus=1:mpiprocs=1:mem=1gb, walltime=00:10:00",10,1,1,231,2.720531e+04,3.637979e-12,1.809061e-11,3.938811e-14,0.34,682.15817,passed,success,/home/users/ntu/pham0094/scratch/LULESH-Aspire2a/builds/source/LULESH-newWF/build-GNU-CrayMPICH8-Release/lulesh2.0,experiments/GNU-CrayMPICH8-smoke-s10/outputs/GNU-CrayMPICH8-smoke-s10_v1.o,experiments/GNU-CrayMPICH8-smoke-s10/outputs/GNU-CrayMPICH8-smoke-s10_v1.e,builds/build-scripts/GNU-CrayMPICH8/outputs/GNU-CrayMPICH8_v1.o,builds/build-scripts/GNU-CrayMPICH8/outputs/GNU-CrayMPICH8_v1.e
CCE13-CrayMPICH8-baseline-s30,CCE13-CrayMPICH8-newWF,CCE13-CrayMPICH8-baseline-s30_v1,15093829.pbs101,2026-08-05T10:43:19Z,x1003c2s1b1n1,3e01c40b3281aadb7f996525cdd4a3354f6d3801,Cray CC,13.0.2,Cray MPICH,8.1.15,1.1.6,craype-x86-rome;craype/2.7.15;libfabric/1.11.0.4.125;cray-dsmml/0.2.2;craype-network-ofi;cray-mpich/8.1.15;perftools-base/22.04.0;cray-pals/1.1.6;cce/13.0.2;PrgEnv-cray/8.3.3,Release;WITH_MPI=On;WITH_OPENMP=On;WITH_SILO=Off,-s 30,"select=1:ncpus=1:mpiprocs=1:mem=16gb, walltime=00:10:00",30,1,1,932,2.025075e+05,7.639755e-11,8.590535e-10,1.482369e-12,20,1281.9581,passed,success,/home/users/ntu/pham0094/scratch/LULESH-Aspire2a/builds/source/LULESH-newWF/build-CCE13-CrayMPICH8-newWF-Release/lulesh2.0,experiments/CCE13-CrayMPICH8-baseline-s30/outputs/CCE13-CrayMPICH8-baseline-s30_v1.o,experiments/CCE13-CrayMPICH8-baseline-s30/outputs/CCE13-CrayMPICH8-baseline-s30_v1.e,builds/build-scripts/CCE13-CrayMPICH8-newWF/outputs/CCE13-CrayMPICH8-newWF_v1.o,builds/build-scripts/CCE13-CrayMPICH8-newWF/outputs/CCE13-CrayMPICH8-newWF_v1.e
AOCC-CrayMPICH8-baseline-s30,AOCC-CrayMPICH8,AOCC-CrayMPICH8-baseline-s30_v1,15093830.pbs101,2026-08-05T10:43:20Z,x1003c2s1b1n1,3e01c40b3281aadb7f996525cdd4a3354f6d3801,AOCC CC,3.2.0,Cray MPICH,8.1.15,1.1.6,craype-x86-rome;craype/2.7.15;libfabric/1.11.0.4.125;cray-dsmml/0.2.2;craype-network-ofi;cray-mpich/8.1.15;perftools-base/22.04.0;cray-pals/1.1.6;aocc/3.2.0;PrgEnv-aocc/8.3.3,Release;WITH_MPI=On;WITH_OPENMP=On;WITH_SILO=Off,-s 30,"select=1:ncpus=1:mpiprocs=1:mem=16gb, walltime=00:10:00",30,1,1,932,2.025075e+05,7.639755e-11,8.590535e-10,1.482369e-12,32,778.03348,passed,success,/home/users/ntu/pham0094/scratch/LULESH-Aspire2a/builds/source/LULESH-newWF/build-AOCC-CrayMPICH8-Release/lulesh2.0,experiments/AOCC-CrayMPICH8-baseline-s30/outputs/AOCC-CrayMPICH8-baseline-s30_v1.o,experiments/AOCC-CrayMPICH8-baseline-s30/outputs/AOCC-CrayMPICH8-baseline-s30_v1.e,builds/build-scripts/AOCC-CrayMPICH8/outputs/AOCC-CrayMPICH8_v1.2.o,builds/build-scripts/AOCC-CrayMPICH8/outputs/AOCC-CrayMPICH8_v1.2.e
Intel-CrayMPICH8-baseline-s30,Intel-CrayMPICH8,Intel-CrayMPICH8-baseline-s30_v1,15093831.pbs101,2026-08-05T10:43:21Z,x1001c2s7b1n0,3e01c40b3281aadb7f996525cdd4a3354f6d3801,Intel CC,2024.0,Cray MPICH,8.1.15,1.1.6,craype-x86-rome;craype/2.7.15;libfabric/1.11.0.4.125;cray-dsmml/0.2.2;craype-network-ofi;cray-mpich/8.1.15;perftools-base/22.04.0;cray-pals/1.1.6;intel/2024.0;PrgEnv-intel/8.3.3,Release;WITH_MPI=On;WITH_OPENMP=On;WITH_SILO=Off,-s 30,"select=1:ncpus=1:mpiprocs=1:mem=16gb, walltime=00:10:00",30,1,1,932,2.025075e+05,4.365575e-11,7.966711e-10,-nan,25,1019.1226,failed,success,/home/users/ntu/pham0094/scratch/LULESH-Aspire2a/builds/source/LULESH-newWF/build-Intel-CrayMPICH8-Release/lulesh2.0,experiments/Intel-CrayMPICH8-baseline-s30/outputs/Intel-CrayMPICH8-baseline-s30_v1.o,experiments/Intel-CrayMPICH8-baseline-s30/outputs/Intel-CrayMPICH8-baseline-s30_v1.e,builds/build-scripts/Intel-CrayMPICH8/outputs/Intel-CrayMPICH8_v1.o,builds/build-scripts/Intel-CrayMPICH8/outputs/Intel-CrayMPICH8_v1.e
GNU-CrayMPICH8-baseline-s30,GNU-CrayMPICH8,GNU-CrayMPICH8-baseline-s30_v1,15093832.pbs101,2026-08-05T10:43:21Z,x1001c2s7b1n0,3e01c40b3281aadb7f996525cdd4a3354f6d3801,GNU CC,11.2.0,Cray MPICH,8.1.15,1.1.6,craype-x86-rome;craype/2.7.15;libfabric/1.11.0.4.125;cray-dsmml/0.2.2;craype-network-ofi;cray-mpich/8.1.15;perftools-base/22.04.0;cray-pals/1.1.6;gcc/11.2.0;PrgEnv-gnu/8.3.3,Release;WITH_MPI=On;WITH_OPENMP=On;WITH_SILO=Off,-s 30,"select=1:ncpus=1:mpiprocs=1:mem=16gb, walltime=00:10:00",30,1,1,932,2.025075e+05,6.184564e-11,7.360500e-10,1.369973e-12,27,941.23381,passed,success,/home/users/ntu/pham0094/scratch/LULESH-Aspire2a/builds/source/LULESH-newWF/build-GNU-CrayMPICH8-Release/lulesh2.0,experiments/GNU-CrayMPICH8-baseline-s30/outputs/GNU-CrayMPICH8-baseline-s30_v1.o,experiments/GNU-CrayMPICH8-baseline-s30/outputs/GNU-CrayMPICH8-baseline-s30_v1.e,builds/build-scripts/GNU-CrayMPICH8/outputs/GNU-CrayMPICH8_v1.o,builds/build-scripts/GNU-CrayMPICH8/outputs/GNU-CrayMPICH8_v1.e
CCE13-CrayMPICH8-O2-s30,CCE13-CrayMPICH8-O2,CCE13-CrayMPICH8-O2-s30_v1,15096939.pbs101,2026-08-05T23:45:56Z,x1001c6s0b1n1,3e01c40b3281aadb7f996525cdd4a3354f6d3801,Cray CC,13.0.2,Cray MPICH,8.1.15,1.1.6,craype-x86-rome;craype/2.7.15;libfabric/1.11.0.4.125;cray-dsmml/0.2.2;craype-network-ofi;cray-mpich/8.1.15;perftools-base/22.04.0;cray-pals/1.1.6;cce/13.0.2;PrgEnv-cray/8.3.3,Release;OPTIMIZATION_FLAGS=-O2 -DNDEBUG;WITH_MPI=On;WITH_OPENMP=On;WITH_SILO=Off,-s 30,"select=1:ncpus=1:mpiprocs=1:mem=16gb,walltime=00:10:00",30,1,1,932,2.025075e+05,7.639755e-11,8.590535e-10,1.482369e-12,22,1167.0982,passed,success,/home/users/ntu/pham0094/scratch/LULESH-Aspire2a/builds/source/LULESH-newWF/build-CCE13-CrayMPICH8-O2/lulesh2.0,experiments/CCE13-CrayMPICH8-O2-s30/outputs/CCE13-CrayMPICH8-O2-s30_v1.o,experiments/CCE13-CrayMPICH8-O2-s30/outputs/CCE13-CrayMPICH8-O2-s30_v1.e,builds/build-scripts/CCE13-CrayMPICH8-O2/outputs/CCE13-CrayMPICH8-O2_v1.1.o,builds/build-scripts/CCE13-CrayMPICH8-O2/outputs/CCE13-CrayMPICH8-O2_v1.1.e
CCE13-CrayMPICH8-Ofast-s30,CCE13-CrayMPICH8-Ofast,CCE13-CrayMPICH8-Ofast-s30_v1,15096940.pbs101,2026-08-05T23:45:57Z,x1001c6s7b1n0,3e01c40b3281aadb7f996525cdd4a3354f6d3801,Cray CC,13.0.2,Cray MPICH,8.1.15,1.1.6,craype-x86-rome;craype/2.7.15;libfabric/1.11.0.4.125;cray-dsmml/0.2.2;craype-network-ofi;cray-mpich/8.1.15;perftools-base/22.04.0;cray-pals/1.1.6;cce/13.0.2;PrgEnv-cray/8.3.3,Release;OPTIMIZATION_FLAGS=-Ofast -DNDEBUG;WITH_MPI=On;WITH_OPENMP=On;WITH_SILO=Off,-s 30,"select=1:ncpus=1:mpiprocs=1:mem=16gb,walltime=00:10:00",30,1,1,932,2.025075e+05,3.910827e-11,8.722547e-10,-nan,17,1484.2957,failed,success,/home/users/ntu/pham0094/scratch/LULESH-Aspire2a/builds/source/LULESH-newWF/build-CCE13-CrayMPICH8-Ofast/lulesh2.0,experiments/CCE13-CrayMPICH8-Ofast-s30/outputs/CCE13-CrayMPICH8-Ofast-s30_v1.o,experiments/CCE13-CrayMPICH8-Ofast-s30/outputs/CCE13-CrayMPICH8-Ofast-s30_v1.e,builds/build-scripts/CCE13-CrayMPICH8-Ofast/outputs/CCE13-CrayMPICH8-Ofast_v1.1.o,builds/build-scripts/CCE13-CrayMPICH8-Ofast/outputs/CCE13-CrayMPICH8-Ofast_v1.1.e
